transformer.wte.weight                             | shape: (50257, 768) | stride: (768, 1) | numel:38597376 | total bytes: 154389504
transformer.h.1.mlp.c_fc.weight                    | shape: (768, 3072) | stride: (3072, 1) | numel:2359296 | total bytes: 9437184
transformer.h.1.mlp.c_fc.bias                      | shape: (3072,) | stride: (1,) | numel:3072 | total bytes: 12288
transformer.h.1.mlp.c_proj.weight                  | shape: (3072, 768) | stride: (768, 1) | numel:2359296 | total bytes: 9437184
transformer.h.1.mlp.c_proj.bias                    | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.2.ln_1.weight                        | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.2.ln_1.bias                          | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.2.attn.c_attn.weight                 | shape: (768, 2304) | stride: (2304, 1) | numel:1769472 | total bytes: 7077888
transformer.h.2.attn.c_attn.bias                   | shape: (2304,) | stride: (1,) | numel:2304 | total bytes: 9216
transformer.h.2.attn.c_proj.weight                 | shape: (768, 768) | stride: (768, 1) | numel:589824 | total bytes: 2359296
transformer.h.2.attn.c_proj.bias                   | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.2.ln_2.weight                        | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.2.ln_2.bias                          | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.2.mlp.c_fc.weight                    | shape: (768, 3072) | stride: (3072, 1) | numel:2359296 | total bytes: 9437184
transformer.h.2.mlp.c_fc.bias                      | shape: (3072,) | stride: (1,) | numel:3072 | total bytes: 12288
transformer.h.2.mlp.c_proj.weight                  | shape: (3072, 768) | stride: (768, 1) | numel:2359296 | total bytes: 9437184
transformer.h.2.mlp.c_proj.bias                    | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.3.ln_1.weight                        | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.3.ln_1.bias                          | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.3.attn.c_attn.weight                 | shape: (768, 2304) | stride: (2304, 1) | numel:1769472 | total bytes: 7077888
transformer.h.3.attn.c_attn.bias                   | shape: (2304,) | stride: (1,) | numel:2304 | total bytes: 9216
transformer.h.3.attn.c_proj.weight                 | shape: (768, 768) | stride: (768, 1) | numel:589824 | total bytes: 2359296
transformer.h.3.attn.c_proj.bias                   | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.3.ln_2.weight                        | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.3.ln_2.bias                          | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.3.mlp.c_fc.weight                    | shape: (768, 3072) | stride: (3072, 1) | numel:2359296 | total bytes: 9437184
transformer.h.3.mlp.c_fc.bias                      | shape: (3072,) | stride: (1,) | numel:3072 | total bytes: 12288
transformer.h.3.mlp.c_proj.weight                  | shape: (3072, 768) | stride: (768, 1) | numel:2359296 | total bytes: 9437184
transformer.h.3.mlp.c_proj.bias                    | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.4.ln_1.weight                        | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.4.ln_1.bias                          | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.4.attn.c_attn.weight                 | shape: (768, 2304) | stride: (2304, 1) | numel:1769472 | total bytes: 7077888
transformer.h.4.attn.c_attn.bias                   | shape: (2304,) | stride: (1,) | numel:2304 | total bytes: 9216
transformer.h.4.attn.c_proj.weight                 | shape: (768, 768) | stride: (768, 1) | numel:589824 | total bytes: 2359296
transformer.h.4.attn.c_proj.bias                   | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.4.ln_2.weight                        | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.4.ln_2.bias                          | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.4.mlp.c_fc.weight                    | shape: (768, 3072) | stride: (3072, 1) | numel:2359296 | total bytes: 9437184
transformer.h.4.mlp.c_fc.bias                      | shape: (3072,) | stride: (1,) | numel:3072 | total bytes: 12288
transformer.h.4.mlp.c_proj.weight                  | shape: (3072, 768) | stride: (768, 1) | numel:2359296 | total bytes: 9437184
transformer.h.4.mlp.c_proj.bias                    | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.5.ln_1.weight                        | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.5.ln_1.bias                          | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.5.attn.c_attn.weight                 | shape: (768, 2304) | stride: (2304, 1) | numel:1769472 | total bytes: 7077888
transformer.h.5.attn.c_attn.bias                   | shape: (2304,) | stride: (1,) | numel:2304 | total bytes: 9216
transformer.h.5.attn.c_proj.weight                 | shape: (768, 768) | stride: (768, 1) | numel:589824 | total bytes: 2359296
transformer.h.5.attn.c_proj.bias                   | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.5.ln_2.weight                        | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.5.ln_2.bias                          | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.5.mlp.c_fc.weight                    | shape: (768, 3072) | stride: (3072, 1) | numel:2359296 | total bytes: 9437184
transformer.h.5.mlp.c_fc.bias                      | shape: (3072,) | stride: (1,) | numel:3072 | total bytes: 12288
transformer.h.5.mlp.c_proj.weight                  | shape: (3072, 768) | stride: (768, 1) | numel:2359296 | total bytes: 9437184
transformer.h.5.mlp.c_proj.bias                    | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.6.ln_1.weight                        | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.6.ln_1.bias                          | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.6.attn.c_attn.weight                 | shape: (768, 2304) | stride: (2304, 1) | numel:1769472 | total bytes: 7077888
transformer.h.6.attn.c_attn.bias                   | shape: (2304,) | stride: (1,) | numel:2304 | total bytes: 9216
transformer.h.6.attn.c_proj.weight                 | shape: (768, 768) | stride: (768, 1) | numel:589824 | total bytes: 2359296
transformer.h.6.attn.c_proj.bias                   | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.6.ln_2.weight                        | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.6.ln_2.bias                          | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.6.mlp.c_fc.weight                    | shape: (768, 3072) | stride: (3072, 1) | numel:2359296 | total bytes: 9437184
transformer.h.6.mlp.c_fc.bias                      | shape: (3072,) | stride: (1,) | numel:3072 | total bytes: 12288
transformer.h.6.mlp.c_proj.weight                  | shape: (3072, 768) | stride: (768, 1) | numel:2359296 | total bytes: 9437184
transformer.h.6.mlp.c_proj.bias                    | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.7.ln_1.weight                        | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.7.ln_1.bias                          | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.7.attn.c_attn.weight                 | shape: (768, 2304) | stride: (2304, 1) | numel:1769472 | total bytes: 7077888
transformer.h.7.attn.c_attn.bias                   | shape: (2304,) | stride: (1,) | numel:2304 | total bytes: 9216
transformer.h.7.attn.c_proj.weight                 | shape: (768, 768) | stride: (768, 1) | numel:589824 | total bytes: 2359296
transformer.h.7.attn.c_proj.bias                   | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.7.ln_2.weight                        | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.7.ln_2.bias                          | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.7.mlp.c_fc.weight                    | shape: (768, 3072) | stride: (3072, 1) | numel:2359296 | total bytes: 9437184
transformer.h.7.mlp.c_fc.bias                      | shape: (3072,) | stride: (1,) | numel:3072 | total bytes: 12288
transformer.h.7.mlp.c_proj.weight                  | shape: (3072, 768) | stride: (768, 1) | numel:2359296 | total bytes: 9437184
transformer.h.7.mlp.c_proj.bias                    | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.8.ln_1.weight                        | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.8.ln_1.bias                          | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.8.attn.c_attn.weight                 | shape: (768, 2304) | stride: (2304, 1) | numel:1769472 | total bytes: 7077888
transformer.h.8.attn.c_attn.bias                   | shape: (2304,) | stride: (1,) | numel:2304 | total bytes: 9216
transformer.h.8.attn.c_proj.weight                 | shape: (768, 768) | stride: (768, 1) | numel:589824 | total bytes: 2359296
transformer.h.8.attn.c_proj.bias                   | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.8.ln_2.weight                        | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.8.ln_2.bias                          | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.8.mlp.c_fc.weight                    | shape: (768, 3072) | stride: (3072, 1) | numel:2359296 | total bytes: 9437184
transformer.h.8.mlp.c_fc.bias                      | shape: (3072,) | stride: (1,) | numel:3072 | total bytes: 12288
transformer.h.8.mlp.c_proj.weight                  | shape: (3072, 768) | stride: (768, 1) | numel:2359296 | total bytes: 9437184
transformer.h.8.mlp.c_proj.bias                    | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.9.ln_1.weight                        | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.9.ln_1.bias                          | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.9.attn.c_attn.weight                 | shape: (768, 2304) | stride: (2304, 1) | numel:1769472 | total bytes: 7077888
transformer.h.9.attn.c_attn.bias                   | shape: (2304,) | stride: (1,) | numel:2304 | total bytes: 9216
transformer.h.9.attn.c_proj.weight                 | shape: (768, 768) | stride: (768, 1) | numel:589824 | total bytes: 2359296
transformer.h.9.attn.c_proj.bias                   | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.9.ln_2.weight                        | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.9.ln_2.bias                          | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.9.mlp.c_fc.weight                    | shape: (768, 3072) | stride: (3072, 1) | numel:2359296 | total bytes: 9437184
transformer.h.9.mlp.c_fc.bias                      | shape: (3072,) | stride: (1,) | numel:3072 | total bytes: 12288
transformer.h.9.mlp.c_proj.weight                  | shape: (3072, 768) | stride: (768, 1) | numel:2359296 | total bytes: 9437184
transformer.h.9.mlp.c_proj.bias                    | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.10.ln_1.weight                       | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.10.ln_1.bias                         | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.10.attn.c_attn.weight                | shape: (768, 2304) | stride: (2304, 1) | numel:1769472 | total bytes: 7077888
transformer.h.10.attn.c_attn.bias                  | shape: (2304,) | stride: (1,) | numel:2304 | total bytes: 9216
transformer.h.10.attn.c_proj.weight                | shape: (768, 768) | stride: (768, 1) | numel:589824 | total bytes: 2359296
transformer.h.10.attn.c_proj.bias                  | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.10.ln_2.weight                       | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.10.ln_2.bias                         | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.10.mlp.c_fc.weight                   | shape: (768, 3072) | stride: (3072, 1) | numel:2359296 | total bytes: 9437184
transformer.h.10.mlp.c_fc.bias                     | shape: (3072,) | stride: (1,) | numel:3072 | total bytes: 12288
transformer.h.10.mlp.c_proj.weight                 | shape: (3072, 768) | stride: (768, 1) | numel:2359296 | total bytes: 9437184
transformer.h.10.mlp.c_proj.bias                   | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.11.ln_1.weight                       | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.11.ln_1.bias                         | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.11.attn.c_attn.weight                | shape: (768, 2304) | stride: (2304, 1) | numel:1769472 | total bytes: 7077888
transformer.h.11.attn.c_attn.bias                  | shape: (2304,) | stride: (1,) | numel:2304 | total bytes: 9216
transformer.h.11.attn.c_proj.weight                | shape: (768, 768) | stride: (768, 1) | numel:589824 | total bytes: 2359296
transformer.h.11.attn.c_proj.bias                  | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.11.ln_2.weight                       | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.11.ln_2.bias                         | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.h.11.mlp.c_fc.weight                   | shape: (768, 3072) | stride: (3072, 1) | numel:2359296 | total bytes: 9437184
transformer.h.11.mlp.c_fc.bias                     | shape: (3072,) | stride: (1,) | numel:3072 | total bytes: 12288
transformer.h.11.mlp.c_proj.weight                 | shape: (3072, 768) | stride: (768, 1) | numel:2359296 | total bytes: 9437184
transformer.h.11.mlp.c_proj.bias                   | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.ln_f.weight                            | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
transformer.ln_f.bias                              | shape: (768,) | stride: (1,) | numel:768 | total bytes: 3072
lm_head.weight                                     | shape: (50257, 768) | stride: (768, 1) | numel:38597376 | total bytes: 154389504
Total Parameters:  163037184
Total Bytes:  652.15 MB or  0.652 GB
